# Profil de Blasius - Comparaison 3 methodes
# Equation : f''' + 0.5*f*f'' = 0
# CL : f(0)=f'(0)=0, f'(inf)=1
# Parametre de similarite : eta = psi * sqrt(U_inf / (nu * xi))
# Vitesse normalisee : u/U_inf = f'(eta)
#
# Colonnes : eta  f'_RK4  f'_RK2  f'_Euler  f_RK4  f''_RK4
#
1.375000  0.44854976  0.44854928  0.44755462  0.31167137  0.30908893
1.380000  0.45009460  0.45009412  0.44909744  0.31391798  0.30884732
1.385000  0.45163823  0.45163775  0.45063906  0.31617231  0.30860416
1.390000  0.45318064  0.45318016  0.45217947  0.31843436  0.30835946
1.395000  0.45472182  0.45472134  0.45371868  0.32070412  0.30811320
1.400000  0.45626177  0.45626129  0.45525666  0.32298157  0.30786539
1.405000  0.45780047  0.45780000  0.45679342  0.32526673  0.30761603
1.410000  0.45933792  0.45933745  0.45832895  0.32755958  0.30736511
1.415000  0.46087412  0.46087364  0.45986324  0.32986011  0.30711263
1.420000  0.46240905  0.46240857  0.46139628  0.33216832  0.30685858
1.425000  0.46394270  0.46394223  0.46292806  0.33448420  0.30660298
1.430000  0.46547507  0.46547460  0.46445857  0.33680774  0.30634581
1.435000  0.46700616  0.46700568  0.46598782  0.33913894  0.30608708
1.440000  0.46853594  0.46853547  0.46751578  0.34147780  0.30582678
1.445000  0.47006442  0.47006395  0.46904246  0.34382430  0.30556492
1.450000  0.47159159  0.47159111  0.47056784  0.34617844  0.30530148
1.455000  0.47311743  0.47311696  0.47209191  0.34854022  0.30503647
1.460000  0.47464195  0.47464148  0.47361468  0.35090961  0.30476989
1.465000  0.47616513  0.47616466  0.47513612  0.35328663  0.30450174
1.470000  0.47768697  0.47768649  0.47665624  0.35567126  0.30423201
1.475000  0.47920745  0.47920697  0.47817503  0.35806350  0.30396071
1.480000  0.48072657  0.48072609  0.47969247  0.36046334  0.30368782
1.485000  0.48224432  0.48224385  0.48120856  0.36287076  0.30341336
1.490000  0.48376070  0.48376023  0.48272329  0.36528578  0.30313732
1.495000  0.48527569  0.48527522  0.48423666  0.36770837  0.30285970
1.500000  0.48678930  0.48678882  0.48574865  0.37013853  0.30258050
1.505000  0.48830150  0.48830102  0.48725926  0.37257626  0.30229972
1.510000  0.48981229  0.48981181  0.48876848  0.37502154  0.30201735
1.515000  0.49132167  0.49132119  0.49027630  0.37747438  0.30173340
1.520000  0.49282962  0.49282915  0.49178272  0.37993476  0.30144787
1.525000  0.49433614  0.49433567  0.49328772  0.38240267  0.30116075
1.530000  0.49584123  0.49584075  0.49479131  0.38487812  0.30087205
1.535000  0.49734486  0.49734439  0.49629346  0.38736108  0.30058176
1.540000  0.49884704  0.49884657  0.49779417  0.38985156  0.30028988
1.545000  0.50034776  0.50034728  0.49929344  0.39234955  0.29999641
1.550000  0.50184700  0.50184653  0.50079126  0.39485504  0.29970136
1.555000  0.50334477  0.50334429  0.50228762  0.39736802  0.29940472
1.560000  0.50484105  0.50484057  0.50378250  0.39988848  0.29910649
1.565000  0.50633583  0.50633536  0.50527591  0.40241643  0.29880667
1.570000  0.50782911  0.50782864  0.50676784  0.40495184  0.29850527
1.575000  0.50932088  0.50932041  0.50825827  0.40749472  0.29820227
1.580000  0.51081113  0.51081066  0.50974720  0.41004505  0.29789769
1.585000  0.51229986  0.51229938  0.51123463  0.41260282  0.29759152
1.590000  0.51378704  0.51378657  0.51272053  0.41516804  0.29728375
1.595000  0.51527269  0.51527222  0.51420492  0.41774069  0.29697440
1.600000  0.51675679  0.51675631  0.51568777  0.42032077  0.29666346
1.605000  0.51823932  0.51823885  0.51716908  0.42290826  0.29635093
1.610000  0.51972029  0.51971982  0.51864884  0.42550316  0.29603682
1.615000  0.52119969  0.52119921  0.52012705  0.42810546  0.29572111
1.620000  0.52267750  0.52267703  0.52160369  0.43071515  0.29540382
1.625000  0.52415372  0.52415325  0.52307876  0.43333223  0.29508494
1.630000  0.52562835  0.52562787  0.52455225  0.43595669  0.29476447
1.635000  0.52710137  0.52710089  0.52602415  0.43858851  0.29444241
1.640000  0.52857277  0.52857230  0.52749446  0.44122770  0.29411877
1.645000  0.53004255  0.53004208  0.52896316  0.44387424  0.29379355
1.650000  0.53151070  0.53151023  0.53043026  0.44652812  0.29346674
1.655000  0.53297722  0.53297674  0.53189573  0.44918934  0.29313834
1.660000  0.53444208  0.53444161  0.53335957  0.45185789  0.29280836
1.665000  0.53590530  0.53590483  0.53482178  0.45453376  0.29247680
1.670000  0.53736685  0.53736638  0.53628235  0.45721694  0.29214366
1.675000  0.53882673  0.53882626  0.53774127  0.45990742  0.29180894
1.680000  0.54028493  0.54028446  0.53919853  0.46260520  0.29147264
1.685000  0.54174145  0.54174098  0.54065412  0.46531027  0.29113475
1.690000  0.54319628  0.54319581  0.54210803  0.46802262  0.29079530
1.695000  0.54464940  0.54464893  0.54356027  0.47074223  0.29045426
1.700000  0.54610082  0.54610035  0.54501081  0.47346911  0.29011165
1.705000  0.54755052  0.54755005  0.54645966  0.47620324  0.28976747
1.710000  0.54899849  0.54899802  0.54790680  0.47894461  0.28942171
1.715000  0.55044473  0.55044426  0.54935222  0.48169322  0.28907438
1.720000  0.55188923  0.55188877  0.55079592  0.48444905  0.28872549
1.725000  0.55333199  0.55333152  0.55223790  0.48721211  0.28837502
1.730000  0.55477298  0.55477251  0.55367814  0.48998237  0.28802299
